date_id,customer_id,product_id,channel_id,store_id,billing_address_id,shipping_address_id,order_number,quantity,unit_price,discount_amount,net_amount
20241126,356,2,1,,2910.0,1595,1000000000,2,15000.0,0.0,30000.0
20241126,356,1,1,,2910.0,1595,1000000000,2,12000.0,2400.0,21600.0
20240131,601,1,1,,3803.0,3534,1000000001,1,12000.0,240.0,11760.0
20240131,601,2,1,,3803.0,3534,1000000001,2,15000.0,600.0,29400.0
20240131,601,1,1,,3803.0,3534,1000000001,2,12600.0,2520.0,22680.0
20250226,1234,1,1,,1126.0,4063,1000000002,1,12000.0,240.0,11760.0
20250226,1234,2,1,,1126.0,4063,1000000002,1,15000.0,1500.0,13500.0
20250301,156,1,1,,3665.0,1507,1000000003,1,12000.0,1200.0,10800.0
20250301,156,2,1,,3665.0,1507,1000000003,1,15000.0,300.0,14700.0
20240330,616,2,2,4.0,1293.0,4,1000000004,2,15750.0,1575.0,29925.0
20240330,616,2,2,4.0,1293.0,4,1000000004,1,15000.0,750.0,14250.0
20240312,614,1,2,2.0,1723.0,2,1000000005,2,12000.0,0.0,24000.0
20250715,188,2,1,,1432.0,2148,1000000006,1,15000.0,750.0,14250.0
20241111,17,2,1,,,3577,1000000007,1,15000.0,1500.0,13500.0
20240825,1148,1,1,,2018.0,1490,1000000008,3,12000.0,0.0,36000.0
20240825,1148,2,1,,2018.0,1490,1000000008,3,15000.0,4500.0,40500.0
20240825,1148,1,1,,2018.0,1490,1000000008,1,12600.0,0.0,12600.0
20240330,1037,2,1,,1097.0,1974,1000000009,1,13500.0,675.0,12825.0
20240313,1336,2,2,1.0,,1,1000000010,1,15000.0,300.0,14700.0
20250617,1239,2,2,4.0,2159.0,4,1000000011,1,15000.0,300.0,14700.0
20250617,1239,1,2,4.0,2159.0,4,1000000011,2,10800.0,2160.0,19440.0
20240809,1426,1,2,3.0,3389.0,3,1000000012,3,12000.0,720.0,35280.0
20250323,862,2,2,1.0,1342.0,1,1000000013,3,15750.0,2362.5,44887.5
20250323,862,1,2,1.0,1342.0,1,1000000013,3,12000.0,1800.0,34200.0
20250323,862,1,2,1.0,1342.0,1,1000000013,2,12000.0,1200.0,22800.0
20250818,181,1,1,,2238.0,3917,1000000014,1,12000.0,240.0,11760.0
20240915,700,1,1,,3268.0,1803,1000000015,2,12000.0,480.0,23520.0
20250827,475,1,1,,1585.0,3558,1000000016,2,12600.0,2520.0,22680.0
20250219,753,2,2,2.0,3052.0,2,1000000017,2,15750.0,630.0,30870.0
20250219,753,1,2,2.0,3052.0,2,1000000017,3,12000.0,0.0,36000.0
20240714,1151,2,1,,2712.0,2691,1000000018,1,13500.0,270.0,13230.0
20240714,1151,1,1,,2712.0,2691,1000000018,2,13200.0,2640.0,23760.0
20240714,1151,2,1,,2712.0,2691,1000000018,3,15000.0,0.0,45000.0
20250421,793,1,1,,2523.0,3612,1000000019,3,12600.0,756.0,37044.0
20240506,866,2,1,,3933.0,3374,1000000020,3,16500.0,0.0,49500.0
20250923,1110,1,1,,3246.0,2545,1000000021,2,12000.0,480.0,23520.0
20240331,854,1,2,1.0,2462.0,1,1000000022,2,12000.0,0.0,24000.0
20250705,379,2,2,3.0,3098.0,3,1000000023,2,15000.0,600.0,29400.0
20250705,379,1,2,3.0,3098.0,3,1000000023,1,12000.0,0.0,12000.0
20250705,379,2,2,3.0,3098.0,3,1000000023,2,15000.0,3000.0,27000.0
20250302,441,1,2,2.0,1528.0,2,1000000024,1,12000.0,240.0,11760.0
