date_id,customer_id,channel_id,store_id,billing_address_id,shipping_address_id,order_number,status,currency_code,subtotal,tax_amount,shipping_fee,total_amount
20241126,356,1,,2910.0,1595,1000000000,FULFILLED,ARS,51600.0,10836.0,1200.0,63636.0
20240131,601,1,,3803.0,3534,1000000001,CREATED,ARS,63840.0,13406.4,900.0,78146.4
20250226,1234,1,,1126.0,4063,1000000002,FULFILLED,ARS,25260.0,5304.6,1500.0,32064.6
20250301,156,1,,3665.0,1507,1000000003,FULFILLED,ARS,25500.0,5355.0,0.0,30855.0
20240330,616,2,4.0,1293.0,4,1000000004,FULFILLED,ARS,44175.0,9276.75,0.0,53451.75
20240312,614,2,2.0,1723.0,2,1000000005,FULFILLED,ARS,24000.0,5040.0,0.0,29040.0
20250715,188,1,,1432.0,2148,1000000006,REFUNDED,ARS,14250.0,2992.5,1200.0,18442.5
20241111,17,1,,,3577,1000000007,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0
20240825,1148,1,,2018.0,1490,1000000008,FULFILLED,ARS,89100.0,18711.0,1200.0,109011.0
20240330,1037,1,,1097.0,1974,1000000009,PAID,ARS,12825.0,2693.25,1200.0,16718.25
20240313,1336,2,1.0,,1,1000000010,REFUNDED,ARS,14700.0,3087.0,0.0,17787.0
20250617,1239,2,4.0,2159.0,4,1000000011,FULFILLED,ARS,34140.0,7169.4,0.0,41309.4
20240809,1426,2,3.0,3389.0,3,1000000012,FULFILLED,ARS,35280.0,7408.8,0.0,42688.8
20250323,862,2,1.0,1342.0,1,1000000013,PAID,ARS,101887.5,21396.38,0.0,123283.88
20250818,181,1,,2238.0,3917,1000000014,PAID,ARS,11760.0,2469.6,900.0,15129.6
20240915,700,1,,3268.0,1803,1000000015,CANCELLED,ARS,23520.0,4939.2,1200.0,29659.2
20250827,475,1,,1585.0,3558,1000000016,FULFILLED,ARS,22680.0,4762.8,1200.0,28642.8
20250219,753,2,2.0,3052.0,2,1000000017,FULFILLED,ARS,66870.0,14042.7,0.0,80912.7
20240714,1151,1,,2712.0,2691,1000000018,CANCELLED,ARS,81990.0,17217.9,900.0,100107.9
20250421,793,1,,2523.0,3612,1000000019,FULFILLED,ARS,37044.0,7779.24,1200.0,46023.24
20240506,866,1,,3933.0,3374,1000000020,FULFILLED,ARS,49500.0,10395.0,0.0,59895.0
20250923,1110,1,,3246.0,2545,1000000021,FULFILLED,ARS,23520.0,4939.2,1200.0,29659.2
20240331,854,2,1.0,2462.0,1,1000000022,REFUNDED,ARS,24000.0,5040.0,0.0,29040.0
20250705,379,2,3.0,3098.0,3,1000000023,FULFILLED,ARS,68400.0,14364.0,0.0,82764.0
20250302,441,2,2.0,1528.0,2,1000000024,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
20250826,125,1,,2981.0,1512,1000000025,FULFILLED,ARS,70087.5,14718.38,1200.0,86005.88
20241212,1201,1,,4164.0,1297,1000000026,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0
20241202,1055,1,,3321.0,2858,1000000027,FULFILLED,ARS,22800.0,4788.0,900.0,28488.0
20240517,382,1,,1338.0,2419,1000000028,FULFILLED,ARS,12000.0,2520.0,0.0,14520.0
20250914,1456,1,,1410.0,2421,1000000029,FULFILLED,ARS,64740.0,13595.4,900.0,79235.4
20250609,1377,2,4.0,3581.0,4,1000000030,PAID,ARS,34200.0,7182.0,0.0,41382.0
20250510,1375,2,4.0,1924.0,4,1000000031,PAID,ARS,23520.0,4939.2,0.0,28459.2
20250315,821,1,,3181.0,1920,1000000032,FULFILLED,ARS,27000.0,5670.0,1200.0,33870.0
20240608,1475,2,4.0,3312.0,4,1000000033,FULFILLED,ARS,14700.0,3087.0,0.0,17787.0
20241117,634,2,2.0,2156.0,2,1000000034,FULFILLED,ARS,85387.5,17931.38,0.0,103318.88
20240112,585,2,1.0,3436.0,1,1000000035,FULFILLED,ARS,21600.0,4536.0,0.0,26136.0
20240924,180,1,,4138.0,2859,1000000036,FULFILLED,ARS,49800.0,10458.0,900.0,61158.0
20240126,482,1,,2544.0,3321,1000000037,FULFILLED,ARS,24696.0,5186.16,1200.0,31082.16
20240202,620,2,1.0,1303.0,1,1000000038,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
20240523,603,2,1.0,4130.0,1,1000000039,FULFILLED,ARS,59160.0,12423.6,0.0,71583.6
20240304,1028,1,,3284.0,2145,1000000040,CANCELLED,ARS,11400.0,2394.0,1200.0,14994.0
20240114,1005,2,3.0,,3,1000000041,FULFILLED,ARS,24510.0,5147.1,0.0,29657.1
20240927,790,1,,1738.0,1029,1000000042,FULFILLED,ARS,10260.0,2154.6,1500.0,13914.6
20240521,665,1,,3226.0,3039,1000000043,PAID,ARS,39600.0,8316.0,900.0,48816.0
20250902,562,1,,,2131,1000000044,FULFILLED,ARS,73500.0,15435.0,1500.0,90435.0
20240201,998,1,,3026.0,2980,1000000045,FULFILLED,ARS,36000.0,7560.0,900.0,44460.0
20240112,276,1,,,1489,1000000046,FULFILLED,ARS,33000.0,6930.0,0.0,39930.0
20240308,1469,2,2.0,,2,1000000047,FULFILLED,ARS,10800.0,2268.0,0.0,13068.0
20240913,408,2,2.0,3365.0,2,1000000048,CREATED,ARS,23520.0,4939.2,0.0,28459.2
20240811,1360,2,2.0,1174.0,2,1000000049,FULFILLED,ARS,40500.0,8505.0,0.0,49005.0
20240725,1423,1,,2103.0,1661,1000000050,FULFILLED,ARS,28500.0,5985.0,1200.0,35685.0
20240915,741,1,,2340.0,2863,1000000051,FULFILLED,ARS,30870.0,6482.7,900.0,38252.7
