date_id,customer_id,channel_id,nps_id,score,comment
20240601,1083,1,13000000000,10,
20240311,1383,1,13000000001,5,Volvería a comprar
20240411,179,1,13000000002,10,Atención muy buena
20240630,566,1,13000000003,7,Todo perfecto
20250205,1004,1,13000000004,8,Atención muy buena
20250614,1261,1,13000000005,10,Tardó un poco más de lo esperado
20240419,1376,1,13000000006,6,Todo perfecto
20240703,837,1,13000000007,3,Volvería a comprar
20250721,994,1,13000000008,7,Todo perfecto
20240413,192,1,13000000009,8,Entrega rápida y producto excelente
20241104,1330,1,13000000010,6,
20250703,442,2,13000000011,0,Atención muy buena
20250430,57,1,13000000012,7,Atención muy buena
20250807,559,1,13000000013,8,Entrega rápida y producto excelente
20250416,130,1,13000000014,10,Muy conforme con la calidad
20240626,238,2,13000000015,4,Volvería a comprar
20250417,629,1,13000000016,8,Entrega rápida y producto excelente
20240520,1162,2,13000000017,7,Entrega rápida y producto excelente
20241005,80,2,13000000018,9,Entrega rápida y producto excelente
20240319,1233,2,13000000019,2,Muy conforme con la calidad
20240810,217,1,13000000020,2,Entrega rápida y producto excelente
20250819,1015,2,13000000021,5,Volvería a comprar
20240408,1086,2,13000000022,7,Atención muy buena
20240128,692,1,13000000023,9,Muy conforme con la calidad
20241026,960,1,13000000024,6,Podría mejorar el empaque
20250330,695,2,13000000025,2,Volvería a comprar
20250607,438,1,13000000026,10,Volvería a comprar
20250508,564,1,13000000027,9,Muy conforme con la calidad
20250525,1261,1,13000000028,7,Volvería a comprar
20240610,1122,2,13000000029,4,Atención muy buena
20251006,1427,1,13000000030,5,Muy conforme con la calidad
20240830,661,1,13000000031,10,Podría mejorar el empaque
20250208,1055,2,13000000032,8,Todo perfecto
20250308,321,2,13000000033,8,Podría mejorar el empaque
20240722,500,1,13000000034,10,Atención muy buena
20240618,544,1,13000000035,8,Volvería a comprar
20240723,1405,2,13000000036,8,Atención muy buena
20240831,952,1,13000000037,5,Podría mejorar el empaque
20241229,128,2,13000000038,3,Entrega rápida y producto excelente
20250702,342,2,13000000039,8,Tardó un poco más de lo esperado
20240521,19,2,13000000040,3,Podría mejorar el empaque
20240722,189,1,13000000041,8,Muy conforme con la calidad
20250907,797,1,13000000042,4,Todo perfecto
20241211,1004,2,13000000043,8,Entrega rápida y producto excelente
20250330,426,2,13000000044,9,Todo perfecto
